prune_rate,cosine median,cosine mean,cosine SE,linear median,linear mean,linear SE
0.7,0.15185,0.14943,0.00188,0.14725,0.1479,0.0019
0.6,0.1477,0.14758,0.00058,0.1449,0.14615,0.00148
0.5,0.14475,0.14523,0.00052,0.146,0.1456,0.00089
0.4,0.14295,0.1428,0.00095,0.1419,0.1424,0.00102
0.3,0.1439,0.14295,0.00122,0.14325,0.14248,0.00092
0.2,0.14265,0.14217,0.00133,0.14175,0.14123,0.00118
