momentum,sparse median,sparse mean,sparse SE,dense median ,dense mean,dense SE
0.99,0.23465,0.23465,0.00227,0.2298,0.22732,0.00253
0.95,0.15355,0.15292,0.00115,0.14165,0.14137,0.00138
0.9,0.145,0.14498,0.00044,0.1277,0.12683,0.00156
0.8,0.14085,0.14248,0.00154,0.12625,0.12655,0.00057
0.7,0.1466,0.1469,0.00064,0.12805,0.12793,0.00056
0.6,0.1495,0.14998,0.00109,0.1289,0.12938,0.00075
0.5,0.1528,0.15285,0.00083,0.1308,0.13102,0.00072
