Sparsity,Full Dense,error1,Dynamic Sparse,error2,Sparse Momentum,error3,SET,error4,DEEP-R,error5
0.99,0.9869,0.000106094,0.9754,0.000157,0.9753,0.000469515,0.958,0.000451, 0.94, 0.0001
0.98,0.9869,0.000106094,0.9814,0.00064,0.982,0.00017966,0.9774096,0.0007068877551,0.9821,0.00135
0.97,0.9869,0.000106094,0.9820,0.00023,0.983,0.000546148,0.9806024,0.0003380612245,0.9822,0.000451
0.96,0.9869,0.000106094,0.9823,0.00023,0.9842,0.00023202,0.9809639,0.0003688265306,0.983,0.000574
0.95,0.9869,0.000106094,0.9832,0.00038,0.9853,0.000329309,0.9814458,,0.9806,0.000451
0.9,0.9869,0.000106094,0.9844,0.00045,0.9867,0.0002625101,0.9839157,0.0003688265306,0.9819,0.000451
